"recordtype","id","type","dc.identifier","dc.language","dc.source","isVersionOf","hasVersion","alternative","description","identifier","issued","dct.language","license","publisher","rightsHolder","spatial","title","rootResource","label","owl.versionInfo","contactPoint","dataset","accessRights","landingPage","servesDataset","page","accrualPeriodicity","temporal","distribution","theme","format","accessURL","compressFormat","downloadURL","mediaType","downloadLocation","packageFileName","packageName","versionInfo"
"CATALOG","omg_catalog:codelijst","dcat:Catalog",,,,,,,,,,,,,,,,,,,,"omg_dataset:codelijst-doelboringtypes",,,,,,,,,,,,,,,,,
"DATASET","omg_dataset:codelijst-doelboringtypes","dcat:Dataset","be.vlaanderen.bodemenondergrond.data.id.dataset.codelijst-doelboringtypes","nl",,,,"Dataset codelijst doelboringtypes","Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein bodemenondergrond van de Vlaamse Overheid.","omg_dataset:codelijst-doelboringtypes",,"language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst doelboringtypes","omg_conceptscheme:doelboringtypes","Codelijst doelboringtypes",,"omg_vcard:helpdesk",,"access_right:PUBLIC","https://data.bodemenondergrond.vlaanderen.be/doc/catalog/codelijst.html",,"https://data.bodemenondergrond.vlaanderen.be/doc/dataset/codelijst-doelboringtypes.html","frequency:IRREG","omg_periodoftime:dataset_omg",,"datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087",,,,,,,,,
"V0.1.0-DATASET","omg_dataset:codelijst-doelboringtypes.0.1.0","dcat:Dataset","be.vlaanderen.bodemenondergrond.data.id.dataset.codelijst-doelboringtypes.0.1.0","nl",,"omg_dataset:codelijst-doelboringtypes",,"Dataset codelijst doelboringtypes","Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein bodemenondergrond van de Vlaamse Overheid.","omg_dataset:codelijst-doelboringtypes.0.1.0","2023-11-23","language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst doelboringtypes","omg_conceptscheme:doelboringtypes","Codelijst doelboringtypes (0.1.0)","0.1.0","omg_vcard:helpdesk",,"access_right:PUBLIC","https://data.bodemenondergrond.vlaanderen.be/doc/catalog/codelijst.html",,"https://data.bodemenondergrond.vlaanderen.be/doc/dataset/codelijst-doelboringtypes.0.1.0.html","frequency:IRREG","omg_periodoftime:dataset_omg","omg_distribution:codelijst-doelboringtypes.0.1.0.doelboringtypes_csv|omg_distribution:codelijst-doelboringtypes.0.1.0.doelboringtypes_jsonld|omg_distribution:codelijst-doelboringtypes.0.1.0.doelboringtypes_rdf|omg_distribution:codelijst-doelboringtypes.0.1.0.doelboringtypes_ttl|omg_distribution:codelijst-doelboringtypes.0.1.0.doelboringtypes_xsd|omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-doelboringtypes.0.1.0","datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087",,,,,,,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-doelboringtypes.0.1.0.doelboringtypes_csv","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-doelboringtypes.0.1.0.doelboringtypes_csv",,,,,,"Codelijst doelboringtypes, geserialiseerd in csv tabelformaat.","omg_distribution:codelijst-doelboringtypes.0.1.0.doelboringtypes_csv","2023-11-23",,,,"ovo:OVO003751",,"Codelijst doelboringtypes in text/csv formaat.",,"Codelijst doelboringtypes, in text/csv formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-doelboringtypes.0.1.0.doelboringtypes_csv.html",,,,,"file_type:CSV","https://github.com/bodemenondergrond/codelijst-doelboringtypes.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-doelboringtypes.0.1.0.doelboringtypes.csv","https://www.iana.org/assignments/media-types/text/csv",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-doelboringtypes.0.1.0.doelboringtypes_jsonld","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-doelboringtypes.0.1.0.doelboringtypes_jsonld",,,,,,"Codelijst doelboringtypes, geserialiseerd in een jsonld bestand.","omg_distribution:codelijst-doelboringtypes.0.1.0.doelboringtypes_jsonld","2023-11-23",,,,"ovo:OVO003751",,"Codelijst doelboringtypes in jsonld rdf-formaat.",,"Codelijst doelboringtypes, in jsonld rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-doelboringtypes.0.1.0.doelboringtypes_jsonld.html",,,,,"file_type:JSON_LD","https://github.com/bodemenondergrond/codelijst-doelboringtypes.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-doelboringtypes.0.1.0.doelboringtypes.jsonld","https://www.iana.org/assignments/media-types/application/ld+json",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-doelboringtypes.0.1.0.doelboringtypes_rdf","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-doelboringtypes.0.1.0.doelboringtypes_rdf",,,,,,"Codelijst doelboringtypes, geserialiseerd in rdf/xml bestand.","omg_distribution:codelijst-doelboringtypes.0.1.0.doelboringtypes_rdf","2023-11-23",,,,"ovo:OVO003751",,"Codelijst doelboringtypes in xml rdf-formaat.",,"Codelijst doelboringtypes, in xml rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-doelboringtypes.0.1.0.doelboringtypes_rdf.html",,,,,"file_type:RDF_XML","https://github.com/bodemenondergrond/codelijst-doelboringtypes.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-doelboringtypes.0.1.0.doelboringtypes.rdf","https://www.iana.org/assignments/media-types/application/rdf+xml",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-doelboringtypes.0.1.0.doelboringtypes_ttl","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-doelboringtypes.0.1.0.doelboringtypes_ttl",,,,,,"Codelijst doelboringtypes, geserialiseerd in Turtle bestand.","omg_distribution:codelijst-doelboringtypes.0.1.0.doelboringtypes_ttl","2023-11-23",,,,"ovo:OVO003751",,"Codelijst doelboringtypes in Turtle rdf-formaat.",,"Codelijst doelboringtypes, in Turtle rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-doelboringtypes.0.1.0.doelboringtypes_ttl.html",,,,,"file_type:RDF_TURTLE","https://github.com/bodemenondergrond/codelijst-doelboringtypes.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-doelboringtypes.0.1.0.doelboringtypes.ttl","https://www.iana.org/assignments/media-types/text/turtle",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-doelboringtypes.0.1.0.doelboringtypes_xsd","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-doelboringtypes.0.1.0.doelboringtypes_xsd",,,,,,"Codelijst doelboringtypes, geserialiseerd in een xsd bestand met een enumeratie.","omg_distribution:codelijst-doelboringtypes.0.1.0.doelboringtypes_xsd","2023-11-23",,,,"ovo:OVO003751",,"Codelijst doelboringtypes in xml/xsd formaat.",,"Codelijst doelboringtypes, in xml xsd-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-doelboringtypes.0.1.0.doelboringtypes_xsd.html",,,,,"file_type:XSD","https://github.com/bodemenondergrond/codelijst-doelboringtypes.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-doelboringtypes.0.1.0.doelboringtypes.xsd","https://www.iana.org/assignments/media-types/application/xml",,,,
"V0.1.0-PACKAGE","omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-doelboringtype.0.1.0","dcat:Distribution|spdx:Package","be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-doelboringtype.0.1.0",,,,,,"Codelijst doelboringtypes, Jar maven package.","omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-doelboringtype.0.1.0","2023-11-23",,,,"ovo:OVO003751",,"Codelijst doelboringtypes in jar-formaat.",,"Package codelijst-doelboringtype",,,,"access_right:PUBLIC",,,,,,,,"file_type:JAR",,,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/bodemenondergrond/data/id/graph/codelijst-doelboringtype/0.1.0/codelijst-doelboringtype-0.1.0.jar",,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/bodemenondergrond/data/id/graph/codelijst-doelboringtype/0.1.0/codelijst-doelboringtype-0.1.0.jar","codelijst-doelboringtype-0.1.0.jar","be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-doelboringtype","0.1.0"
"V0.1.1-DATASET","omg_dataset:codelijst-doelboringtypes.0.1.1","dcat:Dataset","be.vlaanderen.bodemenondergrond.data.id.dataset.codelijst-doelboringtypes.0.1.1","nl",,"omg_dataset:codelijst-doelboringtypes",,"Dataset codelijst doelboringtypes","Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein bodemenondergrond van de Vlaamse Overheid.","omg_dataset:codelijst-doelboringtypes.0.1.1","2023-11-23","language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst doelboringtypes","omg_conceptscheme:doelboringtypes","Codelijst doelboringtypes (0.1.1)","0.1.1","omg_vcard:helpdesk",,"access_right:PUBLIC","https://data.bodemenondergrond.vlaanderen.be/doc/catalog/codelijst.html",,"https://data.bodemenondergrond.vlaanderen.be/doc/dataset/codelijst-doelboringtypes.0.1.1.html","frequency:IRREG","omg_periodoftime:dataset_omg","omg_distribution:codelijst-doelboringtypes.0.1.1.doelboringtypes_csv|omg_distribution:codelijst-doelboringtypes.0.1.1.doelboringtypes_jsonld|omg_distribution:codelijst-doelboringtypes.0.1.1.doelboringtypes_rdf|omg_distribution:codelijst-doelboringtypes.0.1.1.doelboringtypes_ttl|omg_distribution:codelijst-doelboringtypes.0.1.1.doelboringtypes_xsd|omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-doelboringtypes.0.1.1","datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087",,,,,,,,,
