uri,dc.identifier,collections,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
conceptscheme:doelboringtype,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.doelboringtype,,,Codelijst doelboringtype.,,,,,,,Beschrijving doel van de boring.,,,,,,,,,,,,,
collectie:doelboringtypes,be.vlaanderen.bodemenondergrond.data.id.collection.doelboringtype.doelboringtypes,,,Collectie van doelboringtypes.,,,,,,,,,,,,,conceptscheme:doelboringtype,,,,,,,
concept:23,be.vlaanderen.bodemenondergrond.data.id.concept.doelboringtype.23,collectie:doelboringtypes,,Archeologisch onderzoek,,,,,,,,,,,,,conceptscheme:doelboringtype,,,,,,,conceptscheme:doelboringtype
concept:22,be.vlaanderen.bodemenondergrond.data.id.concept.doelboringtype.22,collectie:doelboringtypes,,Begassing, thermische reiniging,,,,,,,,,,,,conceptscheme:doelboringtype,,,,,,,conceptscheme:doelboringtype
concept:7,be.vlaanderen.bodemenondergrond.data.id.concept.doelboringtype.7,collectie:doelboringtypes,,Berging,,,,,,,,,,,,,conceptscheme:doelboringtype,,,,,,,conceptscheme:doelboringtype
concept:24,be.vlaanderen.bodemenondergrond.data.id.concept.doelboringtype.24,collectie:doelboringtypes,,Bodemkundig onderzoek,,,,,,,,,,,,,conceptscheme:doelboringtype,,,,,,,conceptscheme:doelboringtype
concept:17,be.vlaanderen.bodemenondergrond.data.id.concept.doelboringtype.17,collectie:doelboringtypes,,Drainage en bemaling,,,,,,,,,,,,,conceptscheme:doelboringtype,,,,,,,conceptscheme:doelboringtype
concept:26,be.vlaanderen.bodemenondergrond.data.id.concept.doelboringtype.26,collectie:doelboringtypes,,Exploitatie diepe geothermie,,,,,,,,,,,,,conceptscheme:doelboringtype,,,,,,,conceptscheme:doelboringtype
concept:5,be.vlaanderen.bodemenondergrond.data.id.concept.doelboringtype.5,collectie:doelboringtypes,,Exploitatie energie bronnen,,,,,,,,,,,,,conceptscheme:doelboringtype,,,,,,,conceptscheme:doelboringtype
concept:3,be.vlaanderen.bodemenondergrond.data.id.concept.doelboringtype.3,collectie:doelboringtypes,,Exploitatie minerale bronnen,,,,,,,,,,,,,conceptscheme:doelboringtype,,,,,,,conceptscheme:doelboringtype
concept:25,be.vlaanderen.bodemenondergrond.data.id.concept.doelboringtype.25,collectie:doelboringtypes,,Exploratie diepe geothermie,,,,,,,,,,,,,conceptscheme:doelboringtype,,,,,,,conceptscheme:doelboringtype
concept:4,be.vlaanderen.bodemenondergrond.data.id.concept.doelboringtype.4,collectie:doelboringtypes,,Exploratie energie bronnen,,,,,,,,,,,,,conceptscheme:doelboringtype,,,,,,,conceptscheme:doelboringtype
